Item Number,PN,Description,Manufacturer,Manufacturer Part Number,Quantity,Value,Part Reference,Package Size,Package Type,Temperature
11,302013262,SMD CAP Ceramic 4.7uF-10V-10%-X5R;0402,SAMSUNG,CL05A475KP5NRNC,12,4.7uF,"C33,C69,C75,C147,C150,C153,C172,C175,C178,C179,C214,C224",0402,SMD,-55°C to 85°C
12,302013252,SMD CAP Ceramic 10uF-10V-10%-X5R;0603,SAMSUNG,CL10A106KP8NNNC,5,10uF,"C44,C62,C63,C64,C133",0603,SMD,-55°C to 85°C
13,302013266,SMD CAP Ceramic 2.2uF-10V-10%-X5R;0402,SAMSUNG,CL05A225KP5NSNC,11,2.2uF,"C46,C47,C48,C49,C52,C53,C80,C103,C112,C113,C125",0402,SMD,-55°C to 85°C
14,302010166,SMD CAP Ceramic 47uF-6.3V-20%-X5R;0805,YAGEO,CC0805MKX5R5BB476,3,47uF,"C50,C54,C60",0805,SMD,-55°C to 85°C
15,302013263,SMD CAP Ceramic 22uF-10V-20%-X5R;0603,SAMSUNG,CL10A226MP8NUNE,1,22uF,C109,0603,SMD,-55°C to 85°C
16,302010270,SMD CAP Ceramic;1uF-6.3V-±20%-X5R;0201,YAGEO,CC0201MRX5R5BB105,18,1uF,"C136,C137,C138,C139,C140,C141,C142,C143,C144,C157,C160,C163,C166,C169,C177,C207,C215,C225",0201,SMD,-55°C to 85°C
17,304011072,SMD Diode Schottky 30V-200mA;SOD-523,LRC,LRB520S-30T1G,9,LRB520S-30T1G,"D1,D4,D5,D6,D16,D17,D47,D48,D56",SOD-523,SMD,-40°C to 125°C
18,304050798,SMD TVS DIODE 3.6V-6.4V-1pF;X1SON(2),TI,TPD1E1B04DPYR,11,TPD1E1B04DPYR,"D2,D7,D8,D19,D20,D21,D22,D23,D24,D25,D26",0402,SMD,-40°C to 125°C
19,304030448,SMD Diode Zener 3.3V 500MW;SOD523,ON,MM5Z3V3T1G,1,MM5Z3V3T1G,D3,SOD-523,SMD,-65°C to 150°C
20,303030040,SMD Ferrite Bead 120R-1.3A;0402,Murata,BLM15PD121SN1D,12,120R,"FB4,FB6,FB7,FB8,FB9,FB10,FB11,FB12,FB13,FB14,FB15,FB16",0402,SMD,-55°C to 125°C
21,320090535,SMD uSD Card Holder;9+4P-L11.25*W6.96*H1.42mm,商旗,ST-TF-MR267,1,ST-TF-MR267,J3,L11.25*W6.96*H1.42mm,SMD,-25°C to 70°C
22,TMP-450,SMD Box Header Male;3P-1.0+2P-5.5*4.35*3.0mm,商旗,ST-FPC-W103003,1,3P-1.0mm,J4,5.5*4.35*3.0mm,SMD,-25°C to 85°C
23,320011358,SMD USB TYPE C-W/P;12+4P-8.94*7.35*3.26mm,金倍利,USB-31C-F-16P-L7.35,1,USB2.0 Type C,J14,8.94 x 7.55 mm,SMD,-30°C to 85°C
24,303050063,SMD Common Mode Filter 90R-400mA;4P-L2.0*W1.2*H1.4m,Bourns,SRF2012-900YA,1,90R,L13,2.0x1.2 mm,SMD,-40°C to 125°C
